Filename,Norm,All,CRC32Norm,CRC32All,Pack Hdr,MD5
hvfo15d.opk,000DD314,000DD67E,519E9CB9,DED87814,B510,fde03130fb70277b737f672f63db7d5c
hvgo02.opk,002548A0,00254E19,CB407D0E,7120B260,7880,75939ce5f4b2b6f73105ed526ba505eb
hvgoti.opk,0012D77E,0012DB8C,35696E91,87B94723,F272,bf61658a7354668868ab8c94718b4132
hvio23i.opk,0012234A,001226EF,77ADAD8A,ECAC1464,C01F,7ee732d8e2ac1b30d2ed2a2ba1c07e4b
hvio23s.opk,0011FFAE,00120354,9E947D6F,6610186B,B26F,639ffebd2b47ff941cdb3cca13cee77b
hvlo311i.opk,0013084E,00130BDF,7EC23636,7CBA777A,C129,844c42ff94e4e709df37e3b5083937fa
hvlo32s.opk,0013C8E0,0013CE35,696BCB51,CDCD065C,5FAE,307087e44740b82c03f1e2f0d9d4101f
hvsafe.opk,002E0ADB,002E103A,B090833F,6F306437,D1CF,8b0191bbf2fbab0845dd547d74cf6e18
hvsams13.opk,0031CC25,0031D084,57A201B8,81488B12,E0E5,c0899118f5b325bcfe7fd6a9d94bc7aa
hvsc11s.opk,003CBA6E,003CBFC4,32BA7FBC,8B235AC7,D3C3,6d021de49a898781308fd8e5ddb28aa7
hvsc12.opk,00232BC5,00233101,B8DB793F,51FE98EA,D6F2,cc20f77b6e095e8f5f11d58615a9f3d4
hvsc12i.opk,002D95EB,002D9A26,957A24D5,55B1083B,BF2F,96eee7222941eac6b0d93d27bb70c1dd
hvslep.opk,001DEA08,001DEE68,6DCD241D,A5476E29,BE97,b9da1dccc91214cca4430a3445fa55e4
hvso101.opk,0023D4CD,0023D9C3,2C0E59FE,69752FD1,5C79,664873fa20b8363e9b30b17ac6d6f009
hvsold12.opk,0030AA36,0030AEFA,FE4EC51D,A302F1A5,D25E,3eb1f65f7389bddaade093f8d43a1f26
intelkey.opk,0007A9DD,0007AD13,A6966C39,317EBAFA,5B3B,04557bcde860052f1b8eeb5e70cbd8d5
jotter25.opk,0028A919,0028ADB6,5C80829B,4129AD0A,573D,2d837b395a32716c1e3cc0ca6830e9b9
looksat.opk,0004FFA3,0005056C,581D6A6F,80290022,78F0,73a300ec4d0586c4e9f7c8a2dea9a56a
maths.opk,0014BC20,0014C400,100E4508,8CCE0583,EB00,282fc8e7f2b6ce0257c9c0d12aaa670b
msp100.opk,003BF454,003BF8B6,F5FF5210,62BAC741,1729,e5676739337980e81f1ca4ddf2fa66e5
murray1.opk,00652336,00652716,1ACA0833,BBC3D015,57AB,dfcdaf81862efbdd91c66d9c0c51aa22
nss43.opk,00FD1344,00FD17EE,984BB046,91B563C3,777F,740336a65240cab33124fdb8263216ac
numbase.opk,0026D7C3,0026DAFE,C2C9246E,C6EB1D7A,D338,c92e70b1a4a8070b58c0897e4fa10570
obase.opk,00231F6D,002324F8,1D877D8C,2AA4C542,77A0,5f963e4e5736d5ad1c2f842b9de5f060
pager13.opk,0019B065,0019B5F9,80BFE456,05045D72,57A9,2d01f172980bd3a8a9aa22b6692d90f3
paralink20.opk,00076B88,0007702F,4EA44E7F,75A3596D,6518,24b446914890deecb69c709bec76d345
paralink22f.opk,0009AA2F,0009AE85,371409CA,5BAD3E99,6718,85f0a07913e8abf141e8c228b37b10f6
paralink33.opk,001423E2,00142958,31A8D86D,B672445B,9F9B,1cb3cc5e865c846e7e2baff4371af851
paralink34.opk,001423AA,00142922,285F8C2C,3A22F0AE,A09B,0bc923705cee1d88b281074be76c49a1
persfin.opk,0011900C,001193BA,81614C21,2FB0F433,E2B7,e269a76b85609dfe17029babcbf421fb
persfin2.opk,001FC652,001FCA9F,646D23D0,56526806,E001,19ea54938f959bc2c9cd6d7aa2aac09a
portfolio.opk,0011E2B4,0011E6F8,7B867DB8,D2836BE1,4E3B,0b0a30ff901fafcb71113bdab2b29314
prakfrvc.opk,002B096B,002B0DF0,F5F36CD9,17137E83,553D,86caeb293a698f443ea37566f828c6fd
prakpake.opk,00277EF5,002782DA,48A334A5,97E91085,573D,c0bbeaa3195bd439d88b43806698820b
printer16.opk,0008F564,0008FB17,C684B19D,CB3C7BFF,5AA1,ac0900a15549712464669b3c9d3954e5
printer21.opk,00097B33,0009805E,C3D8BE08,701F489E,65A1,35c5ecc831473729b1716df7378feb8a
printer22.opk,000992FB,00099847,A2779338,D12A5B5D,66A1,eff3fa13e440d04d754f2dead1ca76e7
prudential233.opk,00A4EFF6,00A4F554,BB376E80,8128B048,3927,b8f001a8187bc858520bf00010bf2b09
psitex200.opk,00145896,00145C4A,89B82302,CCE04194,533B,ac8cc44fb880fd5804641d2df37b1d7a
purfin.opk,00156C0E,001572AD,93162789,0F7C25DF,ACFC,3b2ad1582476f0bc321fab09d13ac4fc
relay42.opk,00613049,006135E2,7A8C610F,AB218A1E,AEC1,251fb39f4ef543966b8544c85b3d7ac8
sartech.opk,001E7242,001E76F9,C3C09BB7,453ADDFE,7741,4352a3341d6280bbdb9b7b0f97d0c2a4
sdrp.opk,0041A415,0041A6EF,CDFD5670,550D0A7E,5625,d9f0bf2de63c1cdeba485e8f9217f866
sigset201.opk,000983E7,00098767,32015B83,8696FB8A,839B,869eb58cdc4c92510c62f0a8e049e72b
smst20.opk,0020C262,0020C64F,TBC,TBC,TBC,TBC,TBC
snpixrep.opk,001D9DDE,001DA2D7,481707D6,D9B4F043,80BB,bd3dd9c05e34d4ffada6e697584c8d5e
